epoch,train_loss,val_mae,val_rmse,val_r2,val_spearman
1,0.397313,0.322477,0.536299,0.598732,0.847839
2,0.297821,0.271453,0.431399,0.740355,0.882653
3,0.256893,0.256062,0.400243,0.776505,0.888124
4,0.233200,0.283442,0.427783,0.744690,0.887352
5,0.216303,0.259177,0.411190,0.764112,0.903318
6,0.201947,0.254789,0.389745,0.788075,0.901875
7,0.192328,0.220314,0.360500,0.818686,0.899533
8,0.182740,0.207844,0.355320,0.823859,0.909131
9,0.174356,0.213685,0.343511,0.835372,0.908870
10,0.167457,0.214673,0.352315,0.826825,0.905046
11,0.160532,0.198562,0.332745,0.845530,0.919441
12,0.154604,0.201229,0.337230,0.841338,0.920742
13,0.150520,0.187682,0.319985,0.857150,0.922002
14,0.143370,0.198074,0.323161,0.854300,0.918674
15,0.140798,0.187116,0.314908,0.861647,0.924026
16,0.135078,0.240207,0.357682,0.821509,0.910148
17,0.132279,0.193131,0.316618,0.860141,0.924138
18,0.128578,0.197466,0.322758,0.854663,0.928695
19,0.125723,0.188335,0.320155,0.856998,0.925696
20,0.121547,0.182608,0.297863,0.876219,0.933307
21,0.118673,0.178746,0.301233,0.873402,0.929674
22,0.115763,0.179769,0.307990,0.867659,0.928657
23,0.113410,0.173215,0.301464,0.873208,0.933541
24,0.111395,0.177094,0.300697,0.873852,0.933726
25,0.108764,0.175567,0.303836,0.871205,0.934654
26,0.107643,0.178344,0.334838,0.843581,0.934111
27,0.105314,0.174261,0.318337,0.858617,0.936258
28,0.104466,0.170139,0.292248,0.880842,0.935507
29,0.102352,0.171338,0.289114,0.883384,0.934489
30,0.100221,0.175580,0.290518,0.882248,0.936764
31,0.098208,0.168263,0.286826,0.885222,0.934364
32,0.097328,0.171837,0.302537,0.872304,0.937496
33,0.095498,0.183707,0.314346,0.862140,0.937859
34,0.094220,0.168475,0.284850,0.886799,0.936982
35,0.093106,0.174364,0.290819,0.882004,0.938198
36,0.092684,0.167902,0.290267,0.882451,0.940343
37,0.090499,0.162204,0.282390,0.888745,0.939273
38,0.090081,0.175127,0.300032,0.874410,0.937993
39,0.089065,0.161648,0.280118,0.890528,0.941198
40,0.087510,0.161899,0.280444,0.890273,0.942354
41,0.086887,0.159294,0.276390,0.893422,0.940481
42,0.084778,0.162537,0.277823,0.892315,0.941609
43,0.085266,0.164148,0.278571,0.891734,0.941288
44,0.083823,0.169425,0.280828,0.889972,0.940982
45,0.082539,0.159517,0.284103,0.887391,0.941970
46,0.083219,0.159222,0.284072,0.887415,0.941564
47,0.081874,0.165771,0.274574,0.894818,0.942813
48,0.080820,0.160261,0.283122,0.888168,0.941866
49,0.080052,0.156341,0.270521,0.897901,0.941318
50,0.079268,0.165379,0.278070,0.892123,0.942528
51,0.078647,0.162332,0.291836,0.881177,0.942972
52,0.078072,0.164886,0.285890,0.885970,0.941416
53,0.077667,0.167324,0.282736,0.888472,0.942111
54,0.077024,0.156286,0.270730,0.897743,0.945053
55,0.076060,0.159638,0.298630,0.875580,0.944834
56,0.075868,0.170908,0.289138,0.883364,0.939491
57,0.074748,0.157759,0.274242,0.895073,0.944330
58,0.075020,0.156742,0.268754,0.899230,0.944675
59,0.073951,0.154079,0.270177,0.898161,0.945760
60,0.073500,0.156673,0.270133,0.898193,0.945420
61,0.073731,0.156819,0.273766,0.895436,0.945010
62,0.072594,0.160094,0.270584,0.897853,0.945326
63,0.072316,0.157193,0.267725,0.900000,0.944091
64,0.072187,0.161432,0.273082,0.895958,0.946085
65,0.071132,0.155685,0.272815,0.896162,0.946808
66,0.070734,0.153113,0.264497,0.902397,0.946167
67,0.070187,0.155910,0.269986,0.898304,0.945301
68,0.070979,0.154658,0.270588,0.897850,0.945613
69,0.069694,0.152905,0.265691,0.901514,0.945175
70,0.069966,0.153545,0.268280,0.899585,0.946087
