epoch,train_loss,val_mae,val_rmse,val_r2,val_spearman
1,0.997623,0.860380,0.957559,-0.344216,0.559954
2,0.768949,0.550129,0.759273,0.154850,0.517729
3,0.625559,0.827195,1.055348,-0.632788,0.615024
4,0.584785,0.419771,0.686033,0.310034,0.668949
5,0.534139,0.399764,0.630956,0.416371,0.695045
6,0.547021,0.386216,0.576609,0.512582,0.717110
7,0.480590,0.409465,0.687930,0.306213,0.672724
8,0.487376,0.396208,0.596286,0.478748,0.744077
9,0.442994,0.395370,0.657424,0.366379,0.718078
10,0.451014,0.413115,0.685511,0.311082,0.700575
11,0.445668,0.431679,0.613913,0.447475,0.739467
12,0.431444,0.415961,0.592211,0.485848,0.760621
13,0.424833,0.414895,0.596343,0.478648,0.736551
14,0.427277,0.401300,0.666408,0.348944,0.747644
15,0.425854,0.384267,0.590141,0.489436,0.771474
16,0.416997,0.397676,0.631284,0.415765,0.772398
17,0.408262,0.356957,0.592888,0.484673,0.768230
18,0.421002,0.368048,0.651190,0.378340,0.778055
19,0.399241,0.365009,0.619625,0.437145,0.775908
20,0.391699,0.349556,0.541786,0.569677,0.797292
21,0.378473,0.349614,0.604312,0.464622,0.768975
22,0.371739,0.330490,0.560390,0.539617,0.802710
23,0.349132,0.343466,0.579893,0.507014,0.795776
24,0.392972,0.331551,0.575124,0.515090,0.793056
25,0.356367,0.685923,0.844054,-0.044430,0.793901
26,0.358110,0.391490,0.587335,0.494279,0.801483
27,0.342864,0.325259,0.593782,0.483117,0.792326
28,0.350309,0.362093,0.566379,0.529725,0.788558
29,0.341469,0.317584,0.557643,0.544120,0.806564
30,0.320092,0.346637,0.589902,0.489850,0.783840
31,0.337432,0.317316,0.586856,0.495104,0.816175
32,0.330902,0.302289,0.561390,0.537973,0.808769
33,0.348288,0.366723,0.563392,0.534671,0.789954
34,0.321396,0.320031,0.574458,0.516213,0.806613
35,0.320811,0.425376,0.600615,0.471153,0.793388
36,0.316000,0.362401,0.582466,0.502630,0.788990
37,0.306054,0.372202,0.598546,0.474789,0.815259
38,0.310247,0.348299,0.572574,0.519380,0.783421
39,0.299366,0.331229,0.595578,0.479985,0.800470
40,0.320896,0.328508,0.579119,0.508330,0.801603
41,0.296129,0.363240,0.629850,0.418416,0.807459
42,0.282147,0.318997,0.543871,0.566359,0.822090
43,0.292869,0.404200,0.657989,0.365290,0.814398
44,0.282862,0.346585,0.548095,0.559598,0.822854
45,0.285046,0.331372,0.590412,0.488967,0.803499
46,0.267177,0.319550,0.558035,0.543479,0.818697
47,0.294502,0.382177,0.717310,0.245685,0.784332
48,0.300876,0.392929,0.742920,0.190863,0.812291
49,0.274169,0.317985,0.574332,0.516425,0.822445
50,0.275636,0.315815,0.543028,0.567703,0.813396
51,0.254304,0.347570,0.628860,0.420243,0.808484
52,0.271901,0.344934,0.654425,0.372147,0.791409
53,0.263101,0.302794,0.562918,0.535454,0.822710
54,0.256795,0.351133,0.566963,0.528754,0.807318
55,0.266413,0.408127,0.798705,0.064785,0.801979
56,0.253456,0.355837,0.696006,0.289827,0.798490
57,0.255201,0.366560,0.741907,0.193067,0.824865
