filename,wc_mmolg,split
DB0-m3_o470_o14_f0_fsc.sym.9_repeat.cif,2.507272,train
DB0-m2_o14_o20_f0_nbo.sym.49_repeat.cif,0.365419,train
DB5-hypotheticalMOF_25387_1_0_1_14_10_0_repeat.cif,0.632806,train
DB0-m3_o21_o1510_f0_fsc.sym.2_repeat.cif,1.692123,train
DB0-m3_o152_o14_f0_fsc.sym.9_repeat.cif,3.081269,train
DB1-Zn2O8N2-AZO_A-irmof14_A_No491_repeat.cif,0.470468,train
DB0-m2_o6_o20_f0_nbo.sym.66_repeat.cif,0.104988,train
DB0-m29_o82_o110_f0_pts.sym.53_repeat.cif,0.940783,train
DB0-m3_o160_o520_f0_fsc.sym.36_repeat.cif,0.9517060000000002,train
DB0-m3_o25_o143_f0_fsc.sym.26_repeat.cif,1.150508,train
DB0-m29_o80_o44_f0_pts.sym.21_repeat.cif,1.204584,train
DB0-m3_o22_o28_f0_nbo.sym.40_repeat.cif,0.181341,train
DB0-m3_o25_o28_f0_pcu.sym.50_repeat.cif,0.498009,train
DB5-hypotheticalMOF_14346_1_0_0_16_21_5_repeat.cif,0.17546,train
DB0-m29_o84_o540_f0_pts.sym.5_repeat.cif,0.510881,train
DB0-m3_o11_o20_f0_nbo.sym.17_repeat.cif,0.254768,train
DB0-m9_o16_o16_f0_sra.sym.8_repeat.cif,1.6705529999999995,train
DB0-m29_o97_o1500_f0_pts.sym.2_repeat.cif,0.537575,train
DB0-m9_o13_o27_f0_sra.sym.17_repeat.cif,0.257474,train
DB0-m3_o16_o500_f0_fsc.sym.50_repeat.cif,3.005036,train
DB1-Zn2O8-ADC_A-irmof7_A_No62_repeat.cif,0.5935079999999999,train
DB0-m3_o44_o23_f0_fsc.sym.45_repeat.cif,1.167075,train
DB0-m3_o24_o27_f0_pcu_repeat.cif,0.191655,train
DB0-m5_o12_o22_f0_bcu.sym.59_repeat.cif,1.7313029999999996,train
DB13-lvt-Syn038493_repeat.cif,0.422608,train
DB0-m3_o16_o146_f0_fsc.sym.43_repeat.cif,1.615905,train
DB1-Zn2O8N2-ADC_A-irmof7_A_No184_repeat.cif,0.354562,train
DB0-m2_o9_o29_f0_pcu.sym.47_repeat.cif,0.666137,train
