filename,wc_mmolg,split
DB0-m3_o115_o4_f0_fsc.sym.19_repeat.cif,1.071164,train
DB0-m2_o39_o39_f0_fof.sym.3_repeat.cif,0.99175,train
DB5-hypotheticalMOF_5049231_0_0_1_23_21_10_repeat.cif,0.566403,train
DB0-m2_o13_o24_f0_pcu.sym.12_repeat.cif,0.957051,train
DB1-Cu2O8N2-fum_A-irmof6_A_No32_repeat.cif,2.2959810000000003,train
DB13-nbo-Syn028221_repeat.cif,0.326602,train
DB0-m29_o99_o52_f0_pts.sym.69_repeat.cif,0.266161,train
DB0-m3_o11_o26_f0_pcu.sym.71_repeat.cif,0.310591,train
DB0-m3_o153_o13_f0_fsc.sym.59_repeat.cif,2.9199360000000003,train
DB0-m3_o25_o1510_f0_fsc.sym.31_repeat.cif,1.35582,train
DB0-m9_o6_o19_f0_sra.sym.52_repeat.cif,0.25853,train
DB0-m3_o8_o23_f0_pcu.sym.79_repeat.cif,0.6832799999999999,train
DB0-m3_o16_o16_f0_pcu.sym.37_repeat.cif,0.5685749999999999,train
DB0-m9_o25_o58_f0_sra_repeat.cif,1.409497,train
DB0-m29_o96_o90_f0_pts.sym.67_repeat.cif,0.5014740000000001,train
DB0-m29_o89_o109_f0_pts.sym.36_repeat.cif,0.7880360000000001,train
DB1-Cu2O8-ADC_A-BDC_A_No195_repeat.cif,0.510975,train
DB0-m2_o15_o19_f0_nbo.sym.47_repeat.cif,0.482257,train
DB12-OFEHAK_freeONLY_repeat.cif,1.5456,train
DB5-hypotheticalMOF_5023326_2_1_0_27_21_3_repeat.cif,0.1368359999999999,train
DB0-m2_o12_o20_f0_pcu.sym.28_repeat.cif,0.155006,train
DB0-m3_o13_o151_f0_fsc.sym.10_repeat.cif,1.6868410000000005,train
DB0-m9_o27_o28_f0_sra.sym.86_repeat.cif,0.296974,train
DB1-Cu2O8N2-DPAC_A-imd_No2_repeat.cif,0.137142,train
DB0-m29_o88_o53_f0_pts.sym.46_repeat.cif,0.799623,train
DB6-cuf_5223_repeat.cif,0.391964,train
DB0-m3_o152_o6_f0_fsc.sym.49_repeat.cif,1.29631,train
DB0-m3_o1_o25_f0_nbo.sym.173_repeat.cif,0.484797,train
DB0-m3_o2_o25_f0_pcu.sym.31_repeat.cif,0.2854279999999999,train
DB0-m29_o90_o99_f0_pts.sym.56_repeat.cif,0.399023,train
DB0-m2_o6_o21_f0_pcu.sym.134_repeat.cif,0.3056500000000001,train
DB0-m3_o18_o23_f0_pcu.sym.1_repeat.cif,0.378213,train
DB0-m3_o470_o159_f0_fsc.sym.24_repeat.cif,2.642559,train
DB0-m2_o2_o14_f0_pcu.sym.68_repeat.cif,0.318777,train
DB0-m29_o97_o1500_f0_pts.sym.2_repeat.cif,0.537575,train
DB0-m29_o85_o1470_f0_pts.sym.17_repeat.cif,1.810288,train
DB0-m2_o4_o14_f0_nbo.sym.56_repeat.cif,0.1873609999999999,train
DB0-m3_o450_o155_f0_fsc.sym.65_repeat.cif,2.043505,train
DB0-m2_o6_o22_f0_nbo.sym.67_repeat.cif,0.145302,train
DB0-m3_o112_o25_f0_fsc.sym.37_repeat.cif,3.418179,train
DB0-m29_o89_o91_f0_pts.sym.7_repeat.cif,0.5873079999999999,train
DB15-pcu_N65_E223_opt_repeat.cif,1.100136,train
DB0-m3_o152_o156_f0_fsc.sym.25_repeat.cif,2.122848,train
DB0-m2_o14_o23_f0_pcu.sym.107_repeat.cif,0.801934,train
DB5-hypotheticalMOF_5067302_0_0_2_8_18_7_repeat.cif,0.554378,train
DB1-Cu2O8-fum_A-irmof6_A_No99_repeat.cif,0.817495,train
DB0-m2_o7_o8_f0_pcu_repeat.cif,0.2285839999999999,train
DB6-cuf_9174_repeat.cif,0.216393,train
DB12-INOMOP01_clean_repeat.cif,3.199836,train
DB0-m3_o6_o20_f0_nbo.sym.123_repeat.cif,0.113934,train
DB1-Zn2O8N2-DPAC_A-irmof7_A_No644_repeat.cif,0.2474789999999999,train
DB0-m2_o1_o3_f0_nbo.sym.32_repeat.cif,0.37685,train
DB0-m3_o52_o15_f0_fsc.sym.19_repeat.cif,3.039432,train
DB0-m2_o12_o22_f0_pcu.sym.119_repeat.cif,1.318804,train
DB0-m29_o93_o1470_f0_pts.sym.12_repeat.cif,0.5014400000000001,train
DB0-m2_o27_o28_f0_nbo.sym.93_repeat.cif,0.201958,train
DB0-m29_o91_o85_f0_pts.sym.40_repeat.cif,0.692833,train
DB0-m29_o88_o530_f0_pts.sym.48_repeat.cif,0.386522,train
DB0-m29_o89_o430_f0_pts.sym.27_repeat.cif,0.6070110000000001,train
DB0-m2_o19_o22_f0_nbo.sym.53_repeat.cif,0.106987,train
DB2-pyr_sym_3_on_1_sym_6_mc_3_L_12_FGB_4___repeat.cif,0.1239139999999999,train
DB0-m3_o2_o11_f0_nbo.sym.95_repeat.cif,0.301183,train
DB0-m3_o8_o23_f0_pcu.sym.145_repeat.cif,0.6385080000000001,train
DB0-m29_o84_o92_f0_pts.sym.40_repeat.cif,1.011699,train
DB1-Cu2N8-BDC_B-irmof7_B_No50_repeat.cif,1.38258,train
DB0-m29_o95_o151_f0_pts.sym.74_repeat.cif,0.933258,train
DB0-m3_o7_o22_f0_nbo.sym.74_repeat.cif,0.197095,train
DB0-m29_o97_o149_f0_pts.sym.23_repeat.cif,1.188238,train
DB1-Zn2O8-AZO_A-BDC_A_No763_repeat.cif,2.7968620000000004,train
DB5-hypotheticalMOF_5010753_1_0_0_8_12_8_repeat.cif,0.09175,train
DB0-m3_o4_o26_f0_pcu.sym.35_repeat.cif,0.6726540000000001,train
DB5-hypotheticalMOF_28235_0_0_2_21_9_7_repeat.cif,0.6715650000000001,train
DB0-m29_o89_o111_f0_pts.sym.11_repeat.cif,1.4116430000000002,train
DB0-m3_o450_o156_f0_fsc.sym.31_repeat.cif,2.6904630000000003,train
DB0-m2_o14_o19_f0_nbo_repeat.cif,0.141194,train
DB0-m29_o84_o86_f0_pts.sym.18_repeat.cif,1.194914,train
DB7-ddmof_22314_repeat.cif,0.265328,train
DB0-m29_o81_o430_f0_pts.sym.68_repeat.cif,0.32368,train
DB0-m29_o96_o100_f0_pts.sym.23_repeat.cif,0.540254,train
DB0-m3_o7_o11_f0_pcu.sym.73_repeat.cif,0.265409,train
DB0-m2_o58_o9_tfz_repeat.cif,0.3240849999999999,train
DB0-m29_o90_o78_f0_pts.sym.115_repeat.cif,0.467195,train
DB0-m29_o80_o47_f0_pts.sym.80_repeat.cif,1.5937359999999998,train
DB0-m2_o20_o27_f0_nbo.sym.66_repeat.cif,0.145144,train
DB0-m29_o90_o42_f0_pts.sym.98_repeat.cif,0.3752769999999999,train
DB0-m2_o22_o27_f0_nbo.sym.46_repeat.cif,0.102399,train
DB0-m2_o9_o17_f0_pcu.sym.18_repeat.cif,0.853338,train
DB0-m3_o1530_o4_f0_fsc.sym.14_repeat.cif,2.30195,train
DB0-m3_o11_o19_f0_nbo.sym.87_repeat.cif,0.184436,train
DB0-m5_o20_o23_f0_bcu.sym.78_repeat.cif,0.356514,train
DB0-m9_o17_o24_f0_sra.sym.69_repeat.cif,1.523109,train
DB0-m29_o99_o52_f0_pts.sym.156_repeat.cif,0.8094880000000001,train
DB0-m3_o2_o18_f0_pcu.sym.8_repeat.cif,0.7445090000000001,train
DB0-m2_o22_o25_f0_pcu.sym.94_repeat.cif,0.6861839999999998,train
DB5-hypotheticalMOF_5071151_1_1_2_19_9_4_repeat.cif,0.318579,train
DB1-Cu2O8-ADC_A-DPAC_A_No14_repeat.cif,0.257951,train
DB0-m3_o17_o27_f0_nbo.sym.81_repeat.cif,0.429289,train
DB0-m3_o2_o14_f0_pcu.sym.19_repeat.cif,0.224793,train
DB0-m2_o3_o20_f0_pcu.sym.17_repeat.cif,0.155422,train
DB0-m3_o23_o23_f0_nbo.sym.47_repeat.cif,0.153133,train
DB0-m3_o5_o29_f0_nbo.sym.66_repeat.cif,0.4895359999999999,train
DB0-m3_o1_o146_f0_fsc.sym.60_repeat.cif,2.0756140000000003,train
DB7-ddmof_21998_repeat.cif,0.2447339999999999,train
DB0-m3_o1_o5_f0_nbo.sym.19_repeat.cif,0.3485979999999999,train
DB0-m29_o96_o450_f0_pts.sym.6_repeat.cif,0.59412,train
DB12-GUQWOG_clean_repeat.cif,1.46853,train
DB0-m29_o81_o102_f0_pts.sym.10_repeat.cif,0.632665,train
DB0-m3_o2_o25_f0_nbo.sym.32_repeat.cif,0.182832,train
DB5-hypotheticalMOF_5062996_1_0_2_18_14_7_repeat.cif,0.239809,train
DB0-m2_o6_o25_f0_pcu.sym.96_repeat.cif,0.0821909999999999,train
DB0-m3_o17_o21_f0_pcu.sym.91_repeat.cif,0.692229,train
DB1-Cu2N8-irmof20_B-irmof6_B_No13_repeat.cif,1.022573,train
DB0-m29_o89_o47_f0_pts.sym.21_repeat.cif,1.493301,train
DB0-m29_o99_o1510_f0_pts.sym.75_repeat.cif,0.226734,train
DB0-m29_o90_o101_f0_pts.sym.22_repeat.cif,0.307224,train
DB0-m3_o11_o25_f0_nbo.sym.85_repeat.cif,0.183867,train
DB0-m3_o48_o25_f0_fsc.sym.68_repeat.cif,1.387659,train
DB0-m3_o540_o21_f0_fsc.sym.3_repeat.cif,1.133227,train
DB7-ddmof_21941_repeat.cif,0.1890649999999999,train
DB0-m3_o6_o20_f0_nbo.sym.68_repeat.cif,0.32438,train
DB12-HAZGOF01_clean_h_repeat.cif,0.6076079999999999,train
DB0-m29_o80_o43_f0_pts.sym.6_repeat.cif,1.5401200000000002,train
DB0-m3_o3_o147_f0_pcu_repeat.cif,0.402281,train
DB0-m3_o2_o4_f0_pcu.sym.57_repeat.cif,0.3848439999999999,train
DB0-m29_o82_o143_f0_pts.sym.58_repeat.cif,0.791924,train
DB0-m29_o81_o86_f0_pts.sym.78_repeat.cif,1.2414839999999998,train
DB5-hypotheticalMOF_5000128_1_1_0_12_9_6_repeat.cif,1.0635130000000002,train
DB0-m3_o11_o28_f0_nbo.sym.33_repeat.cif,0.282875,train
DB7-ddmof_6138_repeat.cif,0.348573,train
DB0-m3_o24_o146_f0_fsc.sym.4_repeat.cif,1.523855,train
DB0-m2_o11_o11_f0_pcu.sym.94_repeat.cif,0.261265,train
DB12-DIKPOD_freeONLY_repeat.cif,0.106408,train
DB0-m2_o5_o15_f0_nbo.sym.1_repeat.cif,0.167801,train
DB0-m3_o8_o26_f0_pcu.sym.9_repeat.cif,0.383648,train
DB0-m2_o24_o28_f0_nbo.sym.5_repeat.cif,0.38035,train
DB1-Cu2O8-TePM_No12_repeat.cif,0.576797,train
DB0-m3_o19_o24_f0_nbo.sym.83_repeat.cif,0.171275,train
DB0-m23_o7_o20_f0_pcu_repeat.cif,0.162109,train
